Value[r],輝度[Y],色度[x],色度[y]
0,0.18,0,0.999
50,1.75,0.293,0.603
80,4.14,0.299,0.625
100,6.25,0.3,0.619
120,9.41,0.297,0.622
140,12.7,0.294,0.631
160,17,0.292,0.626
180,22,0.292,0.63
200,27.4,0.292,0.629
220,33.1,0.293,0.632
240,41.3,0.293,0.63
255,47,0.293,0.631
